Date,Open,High,Low,Close,Adj_Close,Volume
2001-04-24,0.822,0.84,0.774,0.784,0.784,141652000
2000-08-17,1.9,1.953125,1.84375,1.9125,1.9125,99482000
2010-05-04,6.781,6.7905,6.419,6.4915,6.4915,253356000
2015-02-10,18.5595,18.715,18.425501,18.65,18.65,45744000
2003-11-06,2.8405,2.8435,2.7375,2.7495,2.7495,175836000
1997-10-27,0.240104,0.250521,0.211458,0.213542,0.213542,121824000
2010-03-26,6.745,6.8495,6.688,6.753,6.753,131314000
2005-02-01,2.15,2.1635,2.119,2.124,2.124,135230000
2022-05-16,113.099998,113.9925,110.353996,110.810501,110.810501,74566000
1999-03-10,3.41875,3.473438,3.35,3.428125,3.428125,282352000
2016-12-13,38.248001,39.123001,38.099998,38.716999,38.716999,105706000
2005-06-17,1.7945,1.8035,1.758,1.7655,1.7655,96522000
2021-03-18,155.050003,155.831497,151.25,151.399506,151.399506,72992000
2012-03-09,9.3395,9.36,9.172,9.216,9.216,90212000
2023-01-12,96.93,97.190002,93.5,95.269997,95.269997,85254800
2020-04-15,112.884003,116.668503,112.25,115.384003,115.384003,137332000
2023-07-10,129.070007,129.279999,125.919998,127.129997,127.129997,61889300
1997-06-20,0.076563,0.077604,0.075,0.076302,0.076302,67752000
2020-04-06,96.800003,99.926003,96.500999,99.879501,99.879501,115464000
2021-06-30,172.052994,173.580002,171.75,172.007996,172.007996,48080000
2007-07-03,3.502,3.5025,3.451,3.4725,3.4725,44470000
2019-06-25,95.592003,95.819504,93.621002,93.913498,93.913498,60246000
2001-10-22,0.4035,0.4415,0.402,0.4385,0.4385,84620000
2018-11-23,75.849998,76.809998,75.0905,75.102997,75.102997,54152000
1998-07-08,0.932292,0.991667,0.853125,0.892708,0.892708,1166232000
2001-08-27,0.5045,0.5135,0.4955,0.5065,0.5065,52360000
2001-03-06,0.653906,0.7,0.5625,0.59375,0.59375,463830000
2011-09-23,11.0255,11.2245,10.953,11.1805,11.1805,129362000
2013-01-10,13.427,13.437,13.115,13.267,13.267,57268000
2004-02-19,2.2575,2.308,2.2325,2.2325,2.2325,148850000
2013-07-15,15.3635,15.3995,15.2175,15.3285,15.3285,44912000
2013-08-06,15.0255,15.068,14.876,15.0375,15.0375,36980000
2002-03-19,0.7575,0.77,0.728,0.733,0.733,97874000
2011-01-13,9.18,9.3225,9.1755,9.2765,9.2765,67340000
2003-08-22,2.318,2.3475,2.2405,2.261,2.261,209466000
2009-11-12,6.499,6.6075,6.499,6.5265,6.5265,144202000
1998-12-11,1.750521,1.866667,1.75,1.858333,1.858333,509352000
2009-11-11,6.554,6.5655,6.4165,6.4955,6.4955,148684000
2016-05-25,35.400002,35.542999,35.276001,35.4175,35.4175,65354000
1999-08-19,2.76875,2.779688,2.628125,2.653125,2.653125,365700000
2010-02-23,5.9005,5.9625,5.8255,5.862,5.862,141364000
2011-11-09,10.7475,10.785,10.53,10.561,10.561,93612000
2015-07-27,26.387501,27.247499,26.33,26.570499,26.570499,149820000
2023-03-03,92.739998,94.940002,92.660004,94.900002,94.900002,55759600
2004-02-23,2.259,2.2625,2.1675,2.1985,2.1985,186838000
